Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,02:56,04:31,11:36,15:17,18:46,20:17
2,02:55,04:31,11:37,15:17,18:46,20:18
3,02:55,04:30,11:37,15:17,18:47,20:18
4,02:55,04:30,11:37,15:17,18:47,20:19
5,02:54,04:30,11:37,15:17,18:48,20:20
6,02:54,04:30,11:37,15:17,18:48,20:20
7,02:54,04:30,11:37,15:18,18:49,20:21
8,02:54,04:30,11:38,15:18,18:49,20:21
9,02:53,04:30,11:38,15:18,18:50,20:22
10,02:53,04:30,11:38,15:18,18:50,20:23
11,02:53,04:30,11:38,15:18,18:50,20:23
12,02:53,04:30,11:38,15:19,18:51,20:24
13,02:53,04:30,11:39,15:19,18:51,20:24
14,02:53,04:30,11:39,15:19,18:52,20:24
15,02:53,04:30,11:39,15:19,18:52,20:25
16,02:53,04:30,11:39,15:19,18:52,20:25
17,02:53,04:30,11:39,15:20,18:53,20:26
18,02:53,04:30,11:40,15:20,18:53,20:26
19,02:54,04:31,11:40,15:20,18:53,20:26
20,02:54,04:31,11:40,15:20,18:53,20:26
21,02:54,04:31,11:40,15:20,18:54,20:27
22,02:54,04:32,11:41,15:21,18:54,20:27
23,02:55,04:32,11:41,15:21,18:54,20:27
24,02:55,04:32,11:41,15:21,18:54,20:27
25,02:55,04:32,11:41,15:21,18:54,20:27
26,02:56,04:32,11:41,15:21,18:54,20:27
27,02:56,04:33,11:42,15:22,18:54,20:27
28,02:56,04:33,11:42,15:22,18:54,20:27
29,02:57,04:33,11:42,15:22,18:54,20:27
30,02:57,04:34,11:42,15:22,18:54,20:27
